t-0	Everyone has visited every place	Floyd didn't visit Johnny	NEUTRAL
t-1	Everyone has visited Nauru, Samoa, Nigeria, Montenegro, Mozambique, Venezuela, Ireland, Pakistan, Peru, Bangladesh and Mauritius	Steve did visit Nigeria	ENTAILMENT
t-2	Everyone has visited San Mmarino, Laos, New Zealand, Saint Kitts & Nevis, Namibia, Côte D'ivore, Eritrea, Lesotho, Slovakia, South Korea, Sierra Leone, Finland, Canada and Andorra	That person there did visit South Korea	ENTAILMENT
t-3	Everyone has visited every place	James didn't visit Thomas	NEUTRAL
t-4	Someone has visited every person and every place	An individual didn't visit Bill	CONTRADICTION
t-5	Everyone has visited every person and every place	Chris didn't visit Rene	CONTRADICTION
t-6	Everyone has visited Somalia, Fiji, Cameroon, Sudan, Tunisia, Angola, Malaysia, Central African Republic, Equatorial Guinea, Mexico, Federated States of Micronesia, Botswana, Trinidad & Tobago, Montenegro, Andorra, Turkey and Hungary	That person there did visit Central African Republic	ENTAILMENT
t-7	Everyone has visited Brunei, Vanuatu, Iraq, Philippines, Netherlands, China, Sudan, Bulgaria, Afghanistan, Dominican Republic, Republic of the Congo, Kiribati, Macedonia, Palestine, Argentina, Denmark, Vatican City and Morocco	That individual there did visit Palestine	ENTAILMENT
t-8	Everyone has visited Romania, Namibia, Côte D'ivore, Burkina, Czech Republic, Kazakhstan, India, Lithuania, Singapore and Portugal	That person there did visit Singapore and Portugal	ENTAILMENT
t-9	Everyone has visited Andorra, Tajikistan, Ghana, Equatorial Guinea, Bhutan, South Africa, Vanuatu, Thailand, Greece, Costa Rica and Azerbaijan	Howard didn't visit Bhutan	CONTRADICTION
t-10	Everyone has visited Andorra, Mauritius, Luxembourg, Equatorial Guinea, South Africa, Liberia, Lithuania, Saint Vincent & the Grenadines, Indonesia, Czech Republic, Malta, Cambodia, San Mmarino and Chad	Lawrence didn't visit Andorra	CONTRADICTION
t-11	Everyone has visited New Zealand, Guinea, Hungary, Macedonia, South Korea, Gambia, Liberia, Belgium, Qatar, Equatorial Guinea, Kazakhstan, Saint Lucia, Armenia, Moldova and South Sudan	Jamie didn't visit Eritrea	NEUTRAL
t-12	Everyone has visited every person	Bobby didn't visit Tommy	CONTRADICTION
t-13	Someone has visited every person and every place	That person there didn't visit Frank	NEUTRAL
t-14	Someone has visited every person and every place	A person didn't visit Australia	CONTRADICTION
t-15	Everyone has visited every place	Terrence didn't visit Eric	NEUTRAL
t-16	Someone has visited every person and every place	That person there didn't visit Bernard	NEUTRAL
t-17	Someone has visited every person and every place	That person there didn't visit Central African Republic	NEUTRAL
t-18	Someone has visited every person and every place	That individual there didn't visit Jonathan	NEUTRAL
t-19	Everyone has visited Senegal, Somalia, Niger, Ukraine, North Korea, Lebanon, Vietnam, Tuvalu, Rwanda, Cyprus, Iraq, Azerbaijan, Macedonia, Burkina, Palau, Italy, Ghana, New Zealand, Uganda and Mozambique	A person did visit Iraq	ENTAILMENT
t-20	Someone has visited every person and every place	A person didn't visit Uzbekistan	CONTRADICTION
t-21	Someone has visited every person and every place	That person there didn't visit Alfred	NEUTRAL
t-22	Everyone has visited every place	Ross didn't visit Raul	NEUTRAL
t-23	Someone has visited every person and every place	Someone visited Tonga	ENTAILMENT
t-24	Someone has visited every person and every place	An individual visited Herbert	ENTAILMENT
t-25	Everyone has visited Bolivia, Malaysia, Cabo, Tunisia, Nigeria, Republic of the Congo, Syria, Yemen, Afghanistan, Kosovo, Malta, Turkmenistan, Estonia, Guinea-Bissau, Grenada, Iraq and Honduras	That person there did visit Afghanistan	ENTAILMENT
t-26	Someone has visited every person and every place	A person visited Calvin	ENTAILMENT
t-27	Everyone has visited Mongolia, Panama, Laos, Nepal, South Sudan, São Tomé & Prícipe, Maldives, Palestine, Chad, Tonga, Jamaica, South Korea and Bangladesh	Dave didn't visit Equatorial Guinea	NEUTRAL
t-28	Everyone has visited Vatican City, Cyprus, Sweden, Mozambique, Jamaica, United Arab Emirates, Malta, Georgia, Chile and El Salvador	Nathan didn't visit Cyprus	CONTRADICTION
t-29	Someone has visited every person and every place	A person visited Egypt	ENTAILMENT
t-30	Everyone has visited every place	Jim didn't visit Yemen	CONTRADICTION
t-31	Everyone has visited Madagascar, China, Singapore, Papua New Guinea, Chad, Afghanistan, Lesotho, Saint Kitts & Nevis, Egypt, Palau, Equatorial Guinea, Hungary, Liechtenstein and Morocco	Dave didn't visit Ghana	NEUTRAL
t-32	Everyone has visited Kenya, Indonesia, Ecuador, Timor-Leste, Venezuela, New Zealand, United States, Portugal, Mongolia, Gabon, Namibia, South Sudan, Brunei, Turkey and Myanmar	Brent did visit Timor-Leste	ENTAILMENT
t-33	Someone has visited every person and every place	That person there didn't visit David	NEUTRAL
t-34	Everyone has visited every person and every place	Francisco didn't visit Indonesia	CONTRADICTION
t-35	Someone has visited every person and every place	That individual there didn't visit Israel	NEUTRAL
t-36	Everyone has visited Czech Republic, Algeria, Papua New Guinea, Israel, Saint Kitts & Nevis, Malawi, Mauritius, Cabo, Djibouti, Vietnam, The Bahamas, Kenya, Tajikistan, Dominican Republic, Samoa and Malta	Sam didn't visit Cameroon	NEUTRAL
t-37	Everyone has visited Romania, Tuvalu, Cuba, Rwanda, Moldova, Morocco, Madagascar, Egypt, Belize, Tanzania, Eswatini, Lebanon, Zambia and Sudan	Rodney didn't visit Guatemala	NEUTRAL
t-38	Everyone has visited every place	Nathan didn't visit Eswatini	CONTRADICTION
t-39	Someone has visited every person and every place	An individual visited Libya	ENTAILMENT
t-40	Everyone has visited Seychelles, Kenya, Tonga, Niger, Kosovo, Belarus, Palau, Austria, Italy, Iran, Equatorial Guinea, Croatia, Romania, Mongolia, Nicaragua, Laos and France	Someone did visit Mongolia	ENTAILMENT
t-41	Everyone has visited every place	Clifton didn't visit Kirk	NEUTRAL
t-42	Someone has visited every person and every place	That particular person didn't visit Denmark	NEUTRAL
t-43	Someone has visited every person and every place	An individual didn't visit Elmer	CONTRADICTION
t-44	Everyone has visited Dominican Republic, Republic of the Congo, Ireland, Panama, Guyana, Estonia, Yemen, Iraq, United Kingdom and Croatia	Brett did visit Yemen	ENTAILMENT
t-45	Everyone has visited Democratic Republic of the Congo, Montenegro, Kazakhstan, Oman, Haiti, Peru, Burundi, Saint Lucia, Fiji, Armenia, Mali, Switzerland, San Mmarino, Finland, Equatorial Guinea, Morocco and Myanmar	Mike did visit Armenia	ENTAILMENT
t-46	Everyone has visited Egypt, San Mmarino, Algeria, Marshall Islands, Norway, Rwanda, Poland, Nepal, Pakistan, Djibouti, Spain, Ireland, Iceland, El Salvador and Sri Lanka	That individual there did visit Iceland	ENTAILMENT
t-47	Everyone has visited Uzbekistan, Luxembourg, Ethiopia, Côte D'ivore, South Sudan, Sudan, South Korea, Germany, Morocco, Eswatini, Solomon Islands, Panama, Federated States of Micronesia and Costa Rica	Roy didn't visit Côte D'ivore	CONTRADICTION
t-48	Everyone has visited Sudan, Suriname, Angola, Jordan, Bulgaria, Honduras, Seychelles, Costa Rica, Grenada, Tonga, Côte D'ivore, Kazakhstan, Comoros, Japan, Mauritania, Montenegro, Nauru, Palestine, Oman and Belgium	Someone didn't visit Angola	CONTRADICTION
t-49	Everyone has visited Madagascar, Vanuatu, Greece, Bolivia, Burundi, Trinidad & Tobago, Honduras, Pakistan, Slovenia, Saudi Arabia, Antigua & Barbuda, Nepal, Cabo, Albania and Saint Vincent & the Grenadines	That individual there did visit Madagascar	ENTAILMENT
t-50	Everyone has visited every person	Charles didn't visit Aaron	CONTRADICTION
t-51	Everyone has visited Lesotho, Tajikistan, Guinea-Bissau, Georgia, Brunei, Comoros, Seychelles, Nauru, The Bahamas, Burkina, Kiribati, Republic of the Congo, Ghana, Barbados, Guinea, Italy, Turkmenistan, South Africa, Antigua & Barbuda and Croatia	Someone did visit Republic of the Congo	ENTAILMENT
t-52	Everyone has visited every person	Angel didn't visit Jordan	CONTRADICTION
t-53	Someone has visited every person and every place	That particular person didn't visit Lance	NEUTRAL
t-54	Someone has visited every person and every place	An individual visited Joshua	ENTAILMENT
t-55	Everyone has visited every person and every place	Tyrone didn't visit Jesse	CONTRADICTION
t-56	Everyone has visited Mauritius, Trinidad & Tobago, Burkina, Montenegro, Philippines, Sudan, Comoros, Lithuania, Czech Republic, Samoa, Denmark, Zambia, Kuwait, Canada, Yemen, Iraq, Solomon Islands, Kyrgyzstan, Finland and Liechtenstein	Billy didn't visit Georgia	NEUTRAL
t-57	Someone has visited every person and every place	A person visited Iraq	ENTAILMENT
t-58	Everyone has visited every place	Dwayne didn't visit Bahrain	CONTRADICTION
t-59	Everyone has visited Luxembourg, Antigua & Barbuda, Saint Lucia, Turkmenistan, Bhutan, Botswana, Honduras, Palau, Armenia, Gambia and Ukraine	Douglas did visit Armenia	ENTAILMENT
t-60	Everyone has visited every place	Edgar didn't visit Enrique	NEUTRAL
t-61	Someone has visited every person and every place	That particular person didn't visit Kiribati	NEUTRAL
t-62	Everyone has visited Japan, Laos, Saint Vincent & the Grenadines, Côte D'ivore, Palestine, Kyrgyzstan, Thailand, Malaysia, Pakistan, Malawi, Morocco, Slovakia, Sierra Leone, Guinea, Lebanon, Suriname, Namibia and Djibouti	Chad did visit Lebanon	ENTAILMENT
t-63	Everyone has visited Rwanda, Vanuatu, Comoros, United Arab Emirates, Suriname, Grenada, South Sudan, Andorra, Côte D'ivore, Kyrgyzstan, Mauritania, Croatia, Panama, Liechtenstein, Fiji and Mozambique	Dennis didn't visit Qatar	NEUTRAL
t-64	Someone has visited every person and every place	That person there didn't visit Somalia	NEUTRAL
t-65	Everyone has visited Somalia, Kuwait, Azerbaijan, Moldova, Jamaica, Democratic Republic of the Congo, Vatican City, Romania, Vietnam, Tajikistan, Philippines, Malaysia, Cambodia, Federated States of Micronesia, Russia, Austria, Japan, Tanzania, Morocco and Vanuatu	Daryl didn't visit Malta	NEUTRAL
t-66	Everyone has visited every place	Casey didn't visit Colombia	CONTRADICTION
t-67	Everyone has visited every place	Oscar didn't visit Argentina	CONTRADICTION
t-68	Someone has visited every person and every place	Someone didn't visit Theodore	CONTRADICTION
t-69	Someone has visited every person and every place	That person there didn't visit Raul	NEUTRAL
t-70	Everyone has visited Sudan, Tanzania, Zambia, Kiribati, Tajikistan, Brunei, Montenegro, Chad, Spain, India, Rwanda, Vanuatu, Djibouti and Qatar	Dwayne didn't visit Panama	NEUTRAL
